Studio,City,ZIP Code,Latitude,Longitude
Set and Flow,Los Angeles,90028,34.10072175,-118.3282182
Modo Yoga LA - La Brea,Los Angeles,90036,34.06892065,-118.3508078
Red Diamond Yoga,Los Angeles,90034,34.02829051,-118.4026959
One Down Dog,Los Angeles,90029,34.089894,-118.2949093
The Raven Spa,Los Angeles,90039,34.11160164,-118.2612573
Liberation Yoga,Los Angeles,90019,34.04884238,-118.3361087
Sanctuary Fitness - DTLA Arts District,Los Angeles,90012,34.0594833,-118.242048
LA Boulders,Los Angeles,90021,34.0301241,-118.2417786
Evolve Dance Studio,Los Angeles,90019,34.04884238,-118.3361087
Yoga Circle Downtown,Los Angeles,90013,34.04602247,-118.2462496
Siesta Yoga,Los Angeles,90027,34.10546215,-118.2923675
Psycho,Los Angeles,90048,34.07316138,-118.3740667
dr pilates,Los Angeles,90004,34.07572059,-118.3030171
Rise Hot Yoga,Los Angeles,90039,34.11160164,-118.2612573
Heartbeat House,Los Angeles,90039,34.11160164,-118.2612573
Wanderlust Hollywood,Los Angeles,90028,34.10072175,-118.3282182
Sweatheory,Los Angeles,90028,34.10072175,-118.3282182
Peace Yoga Gallery,Los Angeles,90015,34.04012196,-118.2649896
Urban 728 Yoga,Los Angeles,90038,34.08898154,-118.3248377
Modo Yoga LA - East,Los Angeles,90026,34.07687201,-118.265359
Wellborn Lifestyles & Doula Services,Van Nuys,91401,34.18115215,-118.4348272
Radha Yoga,Los Angeles,90018,34.03077151,-118.316869
Namaste Highland Park,Los Angeles,90042,34.11332226,-118.1914287
Silverlake Yoga,Los Angeles,90039,34.11160164,-118.2612573
Yogala Echo Park,Los Angeles,90026,34.07687201,-118.265359
The Main Barre,Los Angeles,90013,34.04602247,-118.2462496
Sweat Yoga,Playa Vista,90094,33.97293079,-118.425329
Dee Dussault - Ganja Yoga & Sex Coaching,Los Angeles,90008,34.01097132,-118.3415877
Sweat Yoga Little Tokyo,Los Angeles,90012,34.0594833,-118.242048
Bikram Yoga,Los Angeles,90012,34.0594833,-118.242048
Evoke Yoga,Los Angeles,90014,34.04475373,-118.2527367
Yoga Vibe,Los Angeles,90027,34.10546215,-118.2923675
One Down Dog,Los Angeles,90041,34.13538186,-118.2068491
The Bridge Mind Body Movement,Los Angeles,90021,34.0301241,-118.2417786
"Zen Wellness: Dr. Bobbi Jones, DC & Dr. Mary Ames Brown, DC",Los Angeles,90027,34.10546215,-118.2923675
Houston Heller- LMT,Los Angeles,90017,34.05230101,-118.2633863
The Sweat Spot,Los Angeles,90026,34.07687201,-118.265359
Yoga Bliss - Westchester,Los Angeles,90045,33.96152081,-118.3934497
Garth Hewitt,Los Angeles,90066,34.00215095,-118.4290397
EVERYBODY,Los Angeles,90065,34.10881215,-118.227666
Jun Chong Tae Kwon Do,Los Angeles,90048,34.07316138,-118.3740667
AIR Aerial Fitness,Los Angeles,90048,34.07316138,-118.3740667
Doula Mellie,Los Angeles,90035,34.05428233,-118.3838559
D&A Flying Yoga,Los Angeles,90010,34.06139076,-118.3096997
Soul Pump Fitness,Los Angeles,90025,34.04518389,-118.4502563
MOMS AT OM,Los Angeles,90066,34.00215095,-118.4290397
